questionID,questionType,questionImage,subQuestionImage,specificQuestionID,numAns,unit,chapter,difficulty,paper,timezone,marks,instruction,notes,answerSubscripts
0,multiAns,w22_11_q1b.png,None,1b,2,Number,3,2,1,1,3,None,,x,
1,singleAns,w22_11_q2b.png,None,2b,1,Number,10,1,1,1,1,None,,,
2,singleAns,w22_11_q2c.png,None,2c,1,Number,10,1,1,1,1,None,,,
3,multiAns,w22_11_q4.png,None,4,2,Number,"2,4",2,1,1,6,None,,,
4,multiAns,w22_11_q5_general.png,w22_11_q5a.png,5a,2,Number,12,1,1,1,3,None,,,
4,singleAns,w22_11_q5_general.png,w22_11_q5b.png,5b,1,Number,12,2,1,1,3,None,,,
5,multiAns,w22_11_q6.png,None,6,2,Number,12,3,1,1,7,None,,,
6,singleAns,w22_11_q10.png,None,10,1,Number,11,2,1,1,3,Only part b is marked,,,
7,userMultiAns,w22_11_q12b.png,None,12b,7,Degree,10,3,1,1,6,None,user can input number of answers (how many are there),,
8,multiAns,w22_12_q1.png,None,1,3,Number,10,1,1,2,3,None,,,
9,multiAns,w22_12_q3.png,None,3,4,Number,4,2,1,2,4,None,,,
10,userMultiAns,w22_12_q4.png,None,4,3,String,10,3,1,2,5,Include π in the answer,,,
11,2x1 Matrix,w22_12_q5a.png,None,5a,1,Number,13,1,1,2,2,None,need a way to input vectors,,
12,multiAns,w22_12_q5c.png,None,5c,2,Number,"6,13",1,1,2,3,None,,,
13,singleAns,w22_12_q6.png,None,6,1,Number,11,1,1,2,3,None,,,
14,singleAns,w22_12_q7_general.png,w22_12_q7a.png,7a,1,Number,9,1,1,2,1,None,,,
14,singleAns,w22_12_q7_general.png,w22_12_q7b.png,7b,1,Number,3,2,1,2,3,Input answer for 3 sig figs,Need to state how many sig figs,,
14,range,w22_12_q7_general.png,w22_12_q7c.png,7c,1,Number,10,3,1,2,3,None,Need to enable answers in a certain range,,
15,singleAns,w22_12_q8_general.png,w22_12_q8a.png,8a,1,Number,1,1,1,2,1,None,Rest of the questions exist in unscorable section,,
16,unscorable,w22_11_q3.png,None,3,1,Number,8,2,1,1,4,None,,,
17,unscorable,w22_11_q1a.png,None,1a,1,Number,"1,3",2,1,1,3,None,,,
18,unscorable,w22_11_q2a.png,None,2a,1,Number,10,2,1,1,3,None,,,
19,unscorable,w22_11_q7_general.png,w22_11_q7a.png,7a,1,Number,9,2,1,1,3,None,,,
19,unscorable,w22_11_q7_general.png,w22_11_q7b.png,7b,1,Number,9,1,1,1,1,None,,,
20,unscorable,w22_11_q8.png,None,8,1,Number,"7,14",2,1,1,5,None,,,
21,unscorable,w22_11_q9.png,None,9,2,Number,"2,7",2,1,1,5,None,,,
22,unscorable,w22_11_q11_general.png,w22_11_q11a.png,11a,0,Number,13,2,1,1,4,None,,,
22,unscorable,w22_11_q11_general.png,w22_11_q11b.png,11b,1,Number,13,1,1,1,2,None,,,
22,unscorable,w22_11_q11_general.png,w22_11_q11c.png,11c,2,Number,13,2,1,1,4,None,,,
23,unscorable,w22_11_q12a.png,None,12a,0,Number,10,2,1,1,3,None,,,
24,unscorable,w22_11_q13.png,None,13,1,Number,14,3,1,1,8,None,,,
25,unscorable,w22_12_q2a.png,None,2a,0,Number,3,2,1,2,4,None,,,
26,unscorable,w22_12_q2b.png,None,2b,2,Number,3,3,1,2,4,None,,,
27,unscorable,w22_12_q5b.png,None,5b,1,Number,13,2,1,2,3,None,,,
28,singleAns,w22_12_q8_general.png,w22_12_q8a.png,8a,1,Number,1,1,1,2,1,None,"This question requires 8a to be solved, so the question image is the entire thing",,
28,unscorable,w22_12_q8_general.png,w22_12_q8d.png,8d,0,String,1,2,1,2,4,None,"Need to be part of the whole number 8 question, or else it is undoable",,
28,unscorable,w22_12_q8_general.png,w22_12_q8b.png,8b,1,String,1,1,1,2,1,None,"Special case! (In main, only scorable, in practice, everything)",,
28,unscorable,w22_12_q8_general.png,w22_12_q8c.png,8c,1,String,1,2,1,2,4,None,,,
29,unscorable,w22_12_q9a.png,None,9a,0,Number,5,2,1,2,2,None,"Need this question for the below questions, so this becomes the general instruction",,
29,multiAns,w22_12_q9a.png,w22_12_q9b.png,9b,2,Number,"7,14",3,1,2,7,Reference the formula given in the instruction,How do I structure these kind of questions?,,
30,singleAns,w22_12_q10_general.png,w22_12_q10a.png,10a,0,Number,12,2,1,2,4,Attempt the question and input the value of p,단계별로 풀어가야 하는 문제는?,,
30,singleAns,w22_12_q10_general.png,w22_12_q10b.png,10b,1,Number,2,1,1,2,2,There may be some confusion. Sorry,options to print the questions so that they can view by topics?,,
30,singleAns,w22_12_q10_general.png,w22_12_q10c.png,10c,1,Number,7,1,1,2,2,There may be some confusion. Sorry,단계별로 풀어가야 하는 문제는???,,
31,multiAns,w22_12_q11_general.png,w22_12_q11a.png,11a,0,Number,14,2,1,2,5,None,단계별로 풀어가야 하는 문제는???,,
31,unscorable,w22_12_q11_general.png,w22_12_q11b.png,11b,0,Number,14,1,1,2,1,None,단계별로 풀어가야 하는 문제는???,,
32,multiAns,w22_12_q12.png,None,12,3,Number,12,3,1,2,9,None,,,
